*** Connectivity Graph ***
User ID 1		User ID 2		Initial Contribution Each

1		57		6
1		70		0
1		10		1
1		91		13
1		79		9
2		45		4
3		17		9
3		70		7
3		31		2
4		57		3
5		78		31
5		66		13
6		80		1
7		18		1
7		37		2
7		29		20
7		72		3
8		70		0
8		12		26
8		16		29
9		70		25
9		37		29
9		50		0
9		54		12
10		88		1
10		31		1
10		41		10
10		70		2
10		60		19
10		51		8
10		37		0
10		72		5
10		81		1
10		92		2
10		83		27
10		84		23
10		13		30
10		58		12
11		70		16
11		39		8
12		24		16
12		59		2
13		76		1
14		61		6
15		68		2
15		27		19
15		66		26
15		43		2
15		81		26
17		70		2
17		59		19
17		53		5
18		35		10
18		82		10
18		93		0
18		72		5
18		76		17
18		29		4
18		61		4
18		62		3
18		81		22
19		70		15
19		64		8
20		57		23
21		70		57
21		32		23
22		77		16
23		58		0
23		46		1
23		76		43
25		82		2
25		59		4
25		92		10
26		70		9
28		36		2
29		97		4
29		37		16
29		92		6
29		70		8
29		38		16
30		74		4
30		70		8
31		70		1
31		81		54
32		70		1
32		42		3
32		80		20
32		37		7
32		59		3
32		72		25
33		98		6
33		92		2
34		56		13
34		42		3
36		70		15
36		72		4
36		71		0
36		82		2
36		56		7
36		55		25
37		82		12
37		54		8
37		92		13
37		70		2
37		42		0
39		72		0
40		78		0
40		44		9
42		65		25
42		82		21
44		54		2
45		70		15
47		70		4
48		70		2
49		57		18
51		95		21
52		99		16
54		82		4
54		70		15
54		72		12
55		57		19
57		92		14
58		93		12
59		84		0
59		70		42
59		66		0
59		72		2
59		77		2
61		100		14
61		70		4
61		90		14
62		84		15
63		97		11
65		91		40
66		69		0
66		93		8
66		82		9
67		70		2
69		87		9
70		75		6
70		89		16
70		86		10
70		100		10
70		81		5
70		72		1
70		99		2
70		82		10
70		73		24
70		85		1
70		74		25
70		83		0
70		92		0
70		91		14
71		82		9
72		81		3
72		74		7
72		98		21
74		82		8
74		81		15
76		80		31
76		82		11
76		93		1
77		90		2
80		86		9
81		88		13
81		94		4
81		91		3
81		82		12
82		90		0
90		99		6
91		96		9
92		93		3
